ID,orderNumber,description,status,orderType,plantCode,plantName,location,equipmentNumber,equipmentDescription,scheduledStart,scheduledEnd,workCenter,planner,equipmentCriticality,safetyRisk,productionImpact,priority,priorityScore,estimatedDowntimeHrs,downtimeCostPerHour,currency,failureRiskScore
a03e1c47-faf9-438c-aab7-2702e41b6b67,ORD-3010,"Compressor Unit - High criticality / Medium safety / Medium production impact (case 11)",Planned,Preventive,P300,Dammam Plant,Compressor House,EQ-1010,Compressor Unit,2026-08-23T06:00:00.000Z,2026-08-23T12:00:00.000Z,WC-INST,Ahmed Al-Otaibi,High,Medium,Medium,High,14,3.00,2800.00,SAR,20
f3c824bf-8784-4a8d-a084-0ca198ea8de4,ORD-3011,"Conveyor Motor - High criticality / Medium safety / Low production impact (case 12)",Completed,Predictive,P400,Riyadh Plant,Line 1,EQ-1011,Conveyor Motor,2026-08-24T07:00:00.000Z,2026-08-24T14:00:00.000Z,WC-CIVIL,Sara Al-Qahtani,High,Medium,Low,High,13,4.00,3050.00,SAR,21
a08eed0e-97b4-42ae-a98f-123ff82e84b5,ORD-3012,"Backup Generator - Medium criticality / Medium safety / High production impact (case 13)",Open,Corrective,P100,Jubail Plant,Line 2,EQ-1012,Backup Generator,2026-08-25T08:00:00.000Z,2026-08-25T10:00:00.000Z,WC-MECH,Mohammed Al-Harbi,Medium,Medium,High,High,13,5.00,3300.00,SAR,22
225f377f-aad9-41a5-bed2-be70cae62743,ORD-3013,"Packaging Machine - Medium criticality / Medium safety / Medium production impact (case 14)",InProcess,Preventive,P200,Yanbu Plant,Boiler Room,EQ-1013,Packaging Machine,2026-08-26T09:00:00.000Z,2026-08-26T12:00:00.000Z,WC-ELEC,Fatimah Al-Zahrani,Medium,Medium,Medium,Medium,12,6.00,3550.00,SAR,23
62a6330c-d816-40f8-8b0d-8b18a5f11668,ORD-3014,"Pressure Sensor - Medium criticality / Medium safety / Low production impact (case 15)",Planned,Predictive,P300,Dammam Plant,Utility Yard,EQ-1014,Pressure Sensor,2026-08-27T10:00:00.000Z,2026-08-27T14:00:00.000Z,WC-INST,Khalid Al-Dosari,Medium,Medium,Low,Medium,11,7.00,3800.00,SAR,24
1e4b5374-231d-4bed-aaeb-da4e86b228ea,ORD-3015,"Pump Station Motor - Low criticality / Medium safety / High production impact (case 16)",Completed,Corrective,P400,Riyadh Plant,Packaging Hall,EQ-1015,Pump Station Motor,2026-08-28T11:00:00.000Z,2026-08-28T16:00:00.000Z,WC-CIVIL,Noura Al-Shehri,Low,Medium,High,Medium,11,8.00,4050.00,SAR,25
b2498750-b95a-454d-b82b-a54dc8cb45d8,ORD-3016,"Cooling Tower Fan - Low criticality / Medium safety / Medium production impact (case 17)",Open,Preventive,P100,Jubail Plant,Tank Farm,EQ-1016,Cooling Tower Fan,2026-08-29T12:00:00.000Z,2026-08-29T18:00:00.000Z,WC-MECH,Faisal Al-Ghamdi,Low,Medium,Medium,Medium,10,1.00,4300.00,SAR,26
316bd6d8-04f4-45ed-a0a6-2cb233664ae7,ORD-3017,"Valve Actuator - Low criticality / Medium safety / Low production impact (case 18)",InProcess,Predictive,P200,Yanbu Plant,Control Room,EQ-1017,Valve Actuator,2026-08-30T13:00:00.000Z,2026-08-30T20:00:00.000Z,WC-ELEC,Huda Al-Malki,Low,Medium,Low,Medium,9,2.00,4550.00,SAR,27
a55d20d0-437e-4791-b75f-2e106e9e327c,ORD-3018,"Control Panel - High criticality / Low safety / High production impact (case 19)",Planned,Corrective,P300,Dammam Plant,Pump Station,EQ-1018,Control Panel,2026-08-31T14:00:00.000Z,2026-08-31T16:00:00.000Z,WC-INST,Abdullah Al-Amri,High,Low,High,Medium,12,3.00,4800.00,SAR,28
940598fb-c078-481b-8c58-512e6222fecb,ORD-3019,"Heat Exchanger - High criticality / Low safety / Medium production impact (case 20)",Completed,Preventive,P400,Riyadh Plant,Cooling Tower,EQ-1019,Heat Exchanger,2026-09-01T15:00:00.000Z,2026-09-01T18:00:00.000Z,WC-CIVIL,Reem Al-Subaie,High,Low,Medium,Medium,11,4.00,5050.00,SAR,29
df7cffaf-05a2-4d9c-830b-8057489c0b4c,ORD-3020,"Compressor Unit - High criticality / Low safety / Low production impact (case 21)",Open,Predictive,P100,Jubail Plant,Compressor House,EQ-1020,Compressor Unit,2026-08-13T06:00:00.000Z,2026-08-13T10:00:00.000Z,WC-MECH,Ahmed Al-Otaibi,High,Low,Low,Medium,10,5.00,300.00,SAR,30
f01aec04-5984-4d2e-9cf0-c49eccff785f,ORD-3021,"Conveyor Motor - Medium criticality / Low safety / High production impact (case 22)",InProcess,Corrective,P200,Yanbu Plant,Line 1,EQ-1021,Conveyor Motor,2026-08-14T07:00:00.000Z,2026-08-14T12:00:00.000Z,WC-ELEC,Sara Al-Qahtani,Medium,Low,High,Medium,10,6.00,550.00,SAR,31
d76d80d5-30c4-4db2-8b20-783f3cf0805a,ORD-3022,"Backup Generator - Medium criticality / Low safety / Medium production impact (case 23)",Planned,Preventive,P300,Dammam Plant,Line 2,EQ-1022,Backup Generator,2026-08-15T08:00:00.000Z,2026-08-15T14:00:00.000Z,WC-INST,Mohammed Al-Harbi,Medium,Low,Medium,Medium,9,7.00,800.00,SAR,32
e7301529-4209-4f27-9a06-407f0281d82e,ORD-3023,"Packaging Machine - Medium criticality / Low safety / Low production impact (case 24)",Completed,Predictive,P400,Riyadh Plant,Boiler Room,EQ-1023,Packaging Machine,2026-08-16T09:00:00.000Z,2026-08-16T16:00:00.000Z,WC-CIVIL,Fatimah Al-Zahrani,Medium,Low,Low,Low,8,8.00,1050.00,SAR,33
817a0dda-b3da-4813-8abd-2d5ba6de351d,ORD-3024,"Pressure Sensor - Low criticality / Low safety / High production impact (case 25)",Open,Corrective,P100,Jubail Plant,Utility Yard,EQ-1024,Pressure Sensor,2026-08-17T10:00:00.000Z,2026-08-17T12:00:00.000Z,WC-MECH,Khalid Al-Dosari,Low,Low,High,Low,8,1.00,1300.00,SAR,34
b1616aef-5a92-4995-ac92-ad57264916c8,ORD-3025,"Pump Station Motor - Low criticality / Low safety / Medium production impact (case 26)",InProcess,Preventive,P200,Yanbu Plant,Packaging Hall,EQ-1025,Pump Station Motor,2026-08-18T11:00:00.000Z,2026-08-18T14:00:00.000Z,WC-ELEC,Noura Al-Shehri,Low,Low,Medium,Low,7,2.00,1550.00,SAR,35
857b850f-392b-4c5d-a737-e6044548d56a,ORD-3026,"Cooling Tower Fan - Low criticality / Low safety / Low production impact (case 27)",Planned,Predictive,P300,Dammam Plant,Tank Farm,EQ-1026,Cooling Tower Fan,2026-08-19T12:00:00.000Z,2026-08-19T16:00:00.000Z,WC-INST,Faisal Al-Ghamdi,Low,Low,Low,Low,6,3.00,1800.00,SAR,36
180738ab-25b6-4eeb-9663-6194543cb589,ORD-3027,"Valve Actuator - High criticality / High safety / High production impact (case 28)",Completed,Corrective,P400,Riyadh Plant,Control Room,EQ-1027,Valve Actuator,2026-08-20T13:00:00.000Z,2026-08-20T18:00:00.000Z,WC-CIVIL,Huda Al-Malki,High,High,High,Urgent,100,4.00,2050.00,SAR,37
c07bd2e9-230c-4004-833b-aa7c379031d0,ORD-3028,"Control Panel - High criticality / High safety / Medium production impact (case 29)",Open,Preventive,P100,Jubail Plant,Pump Station,EQ-1028,Control Panel,2026-08-21T14:00:00.000Z,2026-08-21T20:00:00.000Z,WC-MECH,Abdullah Al-Amri,High,High,Medium,Urgent,100,5.00,2300.00,SAR,38
d7bc13f8-4c50-4369-927c-c3e7fadbdcca,ORD-3029,"Heat Exchanger - High criticality / High safety / Low production impact (case 30)",InProcess,Predictive,P200,Yanbu Plant,Cooling Tower,EQ-1029,Heat Exchanger,2026-08-22T15:00:00.000Z,2026-08-22T22:00:00.000Z,WC-ELEC,Reem Al-Subaie,High,High,Low,Urgent,100,6.00,2550.00,SAR,39
7cca611f-2730-46d5-94b1-98649fd7d149,ORD-3030,"Compressor Unit - Medium criticality / High safety / High production impact (case 31)",Planned,Corrective,P300,Dammam Plant,Compressor House,EQ-1030,Compressor Unit,2026-08-23T06:00:00.000Z,2026-08-23T08:00:00.000Z,WC-INST,Ahmed Al-Otaibi,Medium,High,High,Urgent,100,7.00,2800.00,SAR,40
b7419b14-fa6b-4cde-b2de-176e70859fc7,ORD-3031,"Conveyor Motor - Medium criticality / High safety / Medium production impact (case 32)",Completed,Preventive,P400,Riyadh Plant,Line 1,EQ-1031,Conveyor Motor,2026-08-24T07:00:00.000Z,2026-08-24T10:00:00.000Z,WC-CIVIL,Sara Al-Qahtani,Medium,High,Medium,Urgent,100,8.00,3050.00,SAR,41
eaecbbba-0158-4ec1-8608-1b12d7c2dbfa,ORD-3032,"Backup Generator - Medium criticality / High safety / Low production impact (case 33)",Open,Predictive,P100,Jubail Plant,Line 2,EQ-1032,Backup Generator,2026-08-25T08:00:00.000Z,2026-08-25T12:00:00.000Z,WC-MECH,Mohammed Al-Harbi,Medium,High,Low,Urgent,100,1.00,3300.00,SAR,42
07b314a2-493c-4742-9477-e10e1d50b918,ORD-3033,"Packaging Machine - Low criticality / High safety / High production impact (case 34)",InProcess,Corrective,P200,Yanbu Plant,Boiler Room,EQ-1033,Packaging Machine,2026-08-26T09:00:00.000Z,2026-08-26T14:00:00.000Z,WC-ELEC,Fatimah Al-Zahrani,Low,High,High,Urgent,100,2.00,3550.00,SAR,43
c5f086bb-bd00-4f53-93da-ea7af0a15b07,ORD-3034,"Pressure Sensor - Low criticality / High safety / Medium production impact (case 35)",Planned,Preventive,P300,Dammam Plant,Utility Yard,EQ-1034,Pressure Sensor,2026-08-27T10:00:00.000Z,2026-08-27T16:00:00.000Z,WC-INST,Khalid Al-Dosari,Low,High,Medium,Urgent,100,3.00,3800.00,SAR,44
5f95a58a-0999-4313-b0e7-a0e7ab36c727,ORD-3035,"Pump Station Motor - Low criticality / High safety / Low production impact (case 36)",Completed,Predictive,P400,Riyadh Plant,Packaging Hall,EQ-1035,Pump Station Motor,2026-08-28T11:00:00.000Z,2026-08-28T18:00:00.000Z,WC-CIVIL,Noura Al-Shehri,Low,High,Low,Urgent,100,4.00,4050.00,SAR,45
91294768-4061-4228-82b8-75619e15fe64,ORD-3036,"Cooling Tower Fan - High criticality / Medium safety / High production impact (case 37)",Open,Corrective,P100,Jubail Plant,Tank Farm,EQ-1036,Cooling Tower Fan,2026-08-29T12:00:00.000Z,2026-08-29T14:00:00.000Z,WC-MECH,Faisal Al-Ghamdi,High,Medium,High,High,15,5.00,4300.00,SAR,46
f0f80ae6-f19f-4dbb-80cc-6d5502546258,ORD-3037,"Valve Actuator - High criticality / Medium safety / Medium production impact (case 38)",InProcess,Preventive,P200,Yanbu Plant,Control Room,EQ-1037,Valve Actuator,2026-08-30T13:00:00.000Z,2026-08-30T16:00:00.000Z,WC-ELEC,Huda Al-Malki,High,Medium,Medium,High,14,6.00,4550.00,SAR,47
83de6329-4be7-444b-8b35-28cc92c47f58,ORD-3038,"Control Panel - High criticality / Medium safety / Low production impact (case 39)",Planned,Predictive,P300,Dammam Plant,Pump Station,EQ-1038,Control Panel,2026-08-31T14:00:00.000Z,2026-08-31T18:00:00.000Z,WC-INST,Abdullah Al-Amri,High,Medium,Low,High,13,7.00,4800.00,SAR,48
552a99ad-ef6d-4dd6-93e7-0b77cbcca168,ORD-3039,"Heat Exchanger - Medium criticality / Medium safety / High production impact (case 40)",Completed,Corrective,P400,Riyadh Plant,Cooling Tower,EQ-1039,Heat Exchanger,2026-09-01T15:00:00.000Z,2026-09-01T20:00:00.000Z,WC-CIVIL,Reem Al-Subaie,Medium,Medium,High,High,13,8.00,5050.00,SAR,49
c7811217-a0cc-495f-a1db-dfdc831182c6,ORD-3040,"Compressor Unit - Medium criticality / Medium safety / Medium production impact (case 41)",Open,Preventive,P100,Jubail Plant,Compressor House,EQ-1040,Compressor Unit,2026-08-13T06:00:00.000Z,2026-08-13T12:00:00.000Z,WC-MECH,Ahmed Al-Otaibi,Medium,Medium,Medium,Medium,12,1.00,300.00,SAR,50
be58a22c-76ba-456f-a3e1-45be6db05674,ORD-3041,"Conveyor Motor - Medium criticality / Medium safety / Low production impact (case 42)",InProcess,Predictive,P200,Yanbu Plant,Line 1,EQ-1041,Conveyor Motor,2026-08-14T07:00:00.000Z,2026-08-14T14:00:00.000Z,WC-ELEC,Sara Al-Qahtani,Medium,Medium,Low,Medium,11,2.00,550.00,SAR,51
56df2df2-9dd6-481d-aab7-9c0c452fa56f,ORD-3042,"Backup Generator - Low criticality / Medium safety / High production impact (case 43)",Planned,Corrective,P300,Dammam Plant,Line 2,EQ-1042,Backup Generator,2026-08-15T08:00:00.000Z,2026-08-15T10:00:00.000Z,WC-INST,Mohammed Al-Harbi,Low,Medium,High,Medium,11,3.00,800.00,SAR,52
1b82c143-4509-46b0-b736-6d7cfa13fdbc,ORD-3043,"Packaging Machine - Low criticality / Medium safety / Medium production impact (case 44)",Completed,Preventive,P400,Riyadh Plant,Boiler Room,EQ-1043,Packaging Machine,2026-08-16T09:00:00.000Z,2026-08-16T12:00:00.000Z,WC-CIVIL,Fatimah Al-Zahrani,Low,Medium,Medium,Medium,10,4.00,1050.00,SAR,53
8536e054-3042-497b-9dbc-4a253a8e5120,ORD-3044,"Pressure Sensor - Low criticality / Medium safety / Low production impact (case 45)",Open,Predictive,P100,Jubail Plant,Utility Yard,EQ-1044,Pressure Sensor,2026-08-17T10:00:00.000Z,2026-08-17T14:00:00.000Z,WC-MECH,Khalid Al-Dosari,Low,Medium,Low,Medium,9,5.00,1300.00,SAR,54
1a752ee1-5569-4cc4-950b-980d73ea2286,ORD-3045,"Pump Station Motor - High criticality / Low safety / High production impact (case 46)",InProcess,Corrective,P200,Yanbu Plant,Packaging Hall,EQ-1045,Pump Station Motor,2026-08-18T11:00:00.000Z,2026-08-18T16:00:00.000Z,WC-ELEC,Noura Al-Shehri,High,Low,High,Medium,12,6.00,1550.00,SAR,55
a15c9700-fb62-411a-9c97-7f3d9897fee2,ORD-3046,"Cooling Tower Fan - High criticality / Low safety / Medium production impact (case 47)",Planned,Preventive,P300,Dammam Plant,Tank Farm,EQ-1046,Cooling Tower Fan,2026-08-19T12:00:00.000Z,2026-08-19T18:00:00.000Z,WC-INST,Faisal Al-Ghamdi,High,Low,Medium,Medium,11,7.00,1800.00,SAR,56
d3e23123-de7a-4bb0-875d-ff84d6c19075,ORD-3047,"Valve Actuator - High criticality / Low safety / Low production impact (case 48)",Completed,Predictive,P400,Riyadh Plant,Control Room,EQ-1047,Valve Actuator,2026-08-20T13:00:00.000Z,2026-08-20T20:00:00.000Z,WC-CIVIL,Huda Al-Malki,High,Low,Low,Medium,10,8.00,2050.00,SAR,57
a352b3a4-97c3-4dee-a025-12f51e77fbed,ORD-3048,"Control Panel - Medium criticality / Low safety / High production impact (case 49)",Open,Corrective,P100,Jubail Plant,Pump Station,EQ-1048,Control Panel,2026-08-21T14:00:00.000Z,2026-08-21T16:00:00.000Z,WC-MECH,Abdullah Al-Amri,Medium,Low,High,Medium,10,1.00,2300.00,SAR,58
8e36daf9-fe57-49f8-9e16-11d570e43f35,ORD-3049,"Heat Exchanger - Medium criticality / Low safety / Medium production impact (case 50)",InProcess,Preventive,P200,Yanbu Plant,Cooling Tower,EQ-1049,Heat Exchanger,2026-08-22T15:00:00.000Z,2026-08-22T18:00:00.000Z,WC-ELEC,Reem Al-Subaie,Medium,Low,Medium,Medium,9,2.00,2550.00,SAR,59
d6ca99ec-1fc5-40d1-8d37-9ff29d8b242f,ORD-3050,"Compressor Unit - Medium criticality / Low safety / Low production impact (case 51)",Planned,Predictive,P300,Dammam Plant,Compressor House,EQ-1050,Compressor Unit,2026-08-23T06:00:00.000Z,2026-08-23T10:00:00.000Z,WC-INST,Ahmed Al-Otaibi,Medium,Low,Low,Low,8,3.00,2800.00,SAR,60
912afec4-e217-4416-b9e5-4928f0adc489,ORD-3051,"Conveyor Motor - Low criticality / Low safety / High production impact (case 52)",Completed,Corrective,P400,Riyadh Plant,Line 1,EQ-1051,Conveyor Motor,2026-08-24T07:00:00.000Z,2026-08-24T12:00:00.000Z,WC-CIVIL,Sara Al-Qahtani,Low,Low,High,Low,8,4.00,3050.00,SAR,61
8823c4a7-cff2-4ac2-ae24-e4fb34bd40ed,ORD-3052,"Backup Generator - Low criticality / Low safety / Medium production impact (case 53)",Open,Preventive,P100,Jubail Plant,Line 2,EQ-1052,Backup Generator,2026-08-25T08:00:00.000Z,2026-08-25T14:00:00.000Z,WC-MECH,Mohammed Al-Harbi,Low,Low,Medium,Low,7,5.00,3300.00,SAR,62
986b7e8d-bbaa-43f7-84e2-28ff8cbb00f7,ORD-3053,"Packaging Machine - Low criticality / Low safety / Low production impact (case 54)",InProcess,Predictive,P200,Yanbu Plant,Boiler Room,EQ-1053,Packaging Machine,2026-08-26T09:00:00.000Z,2026-08-26T16:00:00.000Z,WC-ELEC,Fatimah Al-Zahrani,Low,Low,Low,Low,6,6.00,3550.00,SAR,63
ca5431b1-2467-4925-9bee-ea4ac8005c93,ORD-3054,"Pressure Sensor - High criticality / High safety / High production impact (case 55)",Planned,Corrective,P300,Dammam Plant,Utility Yard,EQ-1054,Pressure Sensor,2026-08-27T10:00:00.000Z,2026-08-27T12:00:00.000Z,WC-INST,Khalid Al-Dosari,High,High,High,Urgent,100,7.00,3800.00,SAR,64
9174bba7-7d84-45ba-9a0f-343bdd53e435,ORD-3055,"Pump Station Motor - High criticality / High safety / Medium production impact (case 56)",Completed,Preventive,P400,Riyadh Plant,Packaging Hall,EQ-1055,Pump Station Motor,2026-08-28T11:00:00.000Z,2026-08-28T14:00:00.000Z,WC-CIVIL,Noura Al-Shehri,High,High,Medium,Urgent,100,8.00,4050.00,SAR,65
0110c308-57dd-4209-8257-612e2c2e08b7,ORD-3056,"Cooling Tower Fan - High criticality / High safety / Low production impact (case 57)",Open,Predictive,P100,Jubail Plant,Tank Farm,EQ-1056,Cooling Tower Fan,2026-08-29T12:00:00.000Z,2026-08-29T16:00:00.000Z,WC-MECH,Faisal Al-Ghamdi,High,High,Low,Urgent,100,1.00,4300.00,SAR,66
958a7d74-ca13-417f-b584-8704bfd2fc9c,ORD-3057,"Valve Actuator - Medium criticality / High safety / High production impact (case 58)",InProcess,Corrective,P200,Yanbu Plant,Control Room,EQ-1057,Valve Actuator,2026-08-30T13:00:00.000Z,2026-08-30T18:00:00.000Z,WC-ELEC,Huda Al-Malki,Medium,High,High,Urgent,100,2.00,4550.00,SAR,67
a059d683-1cf4-4706-a3db-2db3deb75e19,ORD-3058,"Control Panel - Medium criticality / High safety / Medium production impact (case 59)",Planned,Preventive,P300,Dammam Plant,Pump Station,EQ-1058,Control Panel,2026-08-31T14:00:00.000Z,2026-08-31T20:00:00.000Z,WC-INST,Abdullah Al-Amri,Medium,High,Medium,Urgent,100,3.00,4800.00,SAR,68
b61ab5f4-8b72-4249-836f-0e769c05959c,ORD-3059,"Heat Exchanger - Medium criticality / High safety / Low production impact (case 60)",Completed,Predictive,P400,Riyadh Plant,Cooling Tower,EQ-1059,Heat Exchanger,2026-09-01T15:00:00.000Z,2026-09-01T22:00:00.000Z,WC-CIVIL,Reem Al-Subaie,Medium,High,Low,Urgent,100,4.00,5050.00,SAR,69
d42d7b97-aa03-436e-a718-61b055e0b79f,ORD-3060,"Compressor Unit - Low criticality / High safety / High production impact (case 61)",Open,Corrective,P100,Jubail Plant,Compressor House,EQ-1060,Compressor Unit,2026-08-13T06:00:00.000Z,2026-08-13T08:00:00.000Z,WC-MECH,Ahmed Al-Otaibi,Low,High,High,Urgent,100,5.00,300.00,SAR,70
609d75dc-ce7e-4f07-9608-276954d5698b,ORD-3061,"Conveyor Motor - Low criticality / High safety / Medium production impact (case 62)",InProcess,Preventive,P200,Yanbu Plant,Line 1,EQ-1061,Conveyor Motor,2026-08-14T07:00:00.000Z,2026-08-14T10:00:00.000Z,WC-ELEC,Sara Al-Qahtani,Low,High,Medium,Urgent,100,6.00,550.00,SAR,71
edece9e6-9b65-4fed-ab86-9633208b81ff,ORD-3062,"Backup Generator - Low criticality / High safety / Low production impact (case 63)",Planned,Predictive,P300,Dammam Plant,Line 2,EQ-1062,Backup Generator,2026-08-15T08:00:00.000Z,2026-08-15T12:00:00.000Z,WC-INST,Mohammed Al-Harbi,Low,High,Low,Urgent,100,7.00,800.00,SAR,72
ec426f5e-8284-4311-b606-19421607b5ef,ORD-3063,"Packaging Machine - High criticality / Medium safety / High production impact (case 64)",Completed,Corrective,P400,Riyadh Plant,Boiler Room,EQ-1063,Packaging Machine,2026-08-16T09:00:00.000Z,2026-08-16T14:00:00.000Z,WC-CIVIL,Fatimah Al-Zahrani,High,Medium,High,High,15,8.00,1050.00,SAR,73
9f052de7-b058-4aff-98a1-7d871c44d188,ORD-3064,"Pressure Sensor - High criticality / Medium safety / Medium production impact (case 65)",Open,Preventive,P100,Jubail Plant,Utility Yard,EQ-1064,Pressure Sensor,2026-08-17T10:00:00.000Z,2026-08-17T16:00:00.000Z,WC-MECH,Khalid Al-Dosari,High,Medium,Medium,High,14,1.00,1300.00,SAR,74
9f8d8572-b27a-4f7b-8b63-deaff0384dd9,ORD-3065,"Pump Station Motor - High criticality / Medium safety / Low production impact (case 66)",InProcess,Predictive,P200,Yanbu Plant,Packaging Hall,EQ-1065,Pump Station Motor,2026-08-18T11:00:00.000Z,2026-08-18T18:00:00.000Z,WC-ELEC,Noura Al-Shehri,High,Medium,Low,High,13,2.00,1550.00,SAR,75
606e7b9e-1634-4723-a204-337dbe28377f,ORD-3066,"Cooling Tower Fan - Medium criticality / Medium safety / High production impact (case 67)",Planned,Corrective,P300,Dammam Plant,Tank Farm,EQ-1066,Cooling Tower Fan,2026-08-19T12:00:00.000Z,2026-08-19T14:00:00.000Z,WC-INST,Faisal Al-Ghamdi,Medium,Medium,High,High,13,3.00,1800.00,SAR,76
f6f2ab7f-c037-418d-a56b-b58475b6fc31,ORD-3067,"Valve Actuator - Medium criticality / Medium safety / Medium production impact (case 68)",Completed,Preventive,P400,Riyadh Plant,Control Room,EQ-1067,Valve Actuator,2026-08-20T13:00:00.000Z,2026-08-20T16:00:00.000Z,WC-CIVIL,Huda Al-Malki,Medium,Medium,Medium,Medium,12,4.00,2050.00,SAR,77
a27d869c-cbf8-43d1-b4f0-c86a22b52c0e,ORD-3068,"Control Panel - Medium criticality / Medium safety / Low production impact (case 69)",Open,Predictive,P100,Jubail Plant,Pump Station,EQ-1068,Control Panel,2026-08-21T14:00:00.000Z,2026-08-21T18:00:00.000Z,WC-MECH,Abdullah Al-Amri,Medium,Medium,Low,Medium,11,5.00,2300.00,SAR,78
7fef58a0-d15b-49bf-80c4-96f1be5b63f9,ORD-3069,"Heat Exchanger - Low criticality / Medium safety / High production impact (case 70)",InProcess,Corrective,P200,Yanbu Plant,Cooling Tower,EQ-1069,Heat Exchanger,2026-08-22T15:00:00.000Z,2026-08-22T20:00:00.000Z,WC-ELEC,Reem Al-Subaie,Low,Medium,High,Medium,11,6.00,2550.00,SAR,79
bbdba960-0575-4c9d-a6be-91cb0222eb62,ORD-3070,"Compressor Unit - Low criticality / Medium safety / Medium production impact (case 71)",Planned,Preventive,P300,Dammam Plant,Compressor House,EQ-1070,Compressor Unit,2026-08-23T06:00:00.000Z,2026-08-23T12:00:00.000Z,WC-INST,Ahmed Al-Otaibi,Low,Medium,Medium,Medium,10,7.00,2800.00,SAR,80
